puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
9.2,1,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Stephen King,Frank Darabont,Castle Rock Entertainment"," Crime, Drama",Frank Darabont,(1994),http://imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=15FFJJM9BH52K50829XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,The Shawshank Redemption,2h 22min
8.9,5,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Reginald Rose,Reginald Rose,Orion-Nova Productions"," Crime, Drama",Sidney Lumet,(1957),http://imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=15FFJJM9BH52K50829XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,12 Angry Men,1h 36min
9.0,4,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Jonathan Nolan,Christopher Nolan,Warner Bros.,Legendary Entertainment,Syncopy"," Action, Crime, Drama, Thriller",Christopher Nolan,(2008),http://imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=15FFJJM9BH52K50829XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,The Dark Knight,2h 32min
9.0,3,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola,Mario Puzo,Paramount Pictures,The Coppola Company"," Crime, Drama",Francis Ford Coppola,(1974),http://imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=15FFJJM9BH52K50829XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,The Godfather: Part II,3h 22min
9.2,2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Mario Puzo,Francis Ford Coppola,Paramount Pictures,Alfran Productions"," Crime, Drama",Francis Ford Coppola,(1972),http://imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=15FFJJM9BH52K50829XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,The Godfather,2h 55min
puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
9.2,1,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Stephen King,Frank Darabont,Castle Rock Entertainment"," Crime, Drama",Frank Darabont,(1994),http://imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=0MGJ4YQRZMK1B619PM1N&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,The Shawshank Redemption,2h 22min
8.9,5,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Reginald Rose,Reginald Rose,Orion-Nova Productions"," Crime, Drama",Sidney Lumet,(1957),http://imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=0MGJ4YQRZMK1B619PM1N&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,12 Angry Men,1h 36min
9.0,4,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Jonathan Nolan,Christopher Nolan,Warner Bros.,Legendary Entertainment,Syncopy"," Action, Crime, Drama, Thriller",Christopher Nolan,(2008),http://imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=0MGJ4YQRZMK1B619PM1N&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,The Dark Knight,2h 32min
9.0,3,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola,Mario Puzo,Paramount Pictures,The Coppola Company"," Crime, Drama",Francis Ford Coppola,(1974),http://imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=0MGJ4YQRZMK1B619PM1N&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,The Godfather: Part II,3h 22min
